Trimester,Week,Session,Session Title,Objective,Topics Covered,Guide,Date
Trimester 2,21,21.1,Tree Ensembles — Intuition to XGBoost,Build intuition for ensemble methods and implement XGBoost with proper tuning and CV,"""Understand the limitations of a single decision tree and why ensemble methods are used.
Explain the basic intuition behind tree ensemble techniques.
Differentiate between bagging (Random Forest) and boosting (XGBoost) at a conceptual level.
Apply Random Forest or XGBoost to train a model and observe performance improvements over a single tree.
Interpret basic feature importance from ensemble models.""",Industry Mentor,12/03/2026
Trimester 2,21,21.2,Explainability & Ensembling,"Use SHAP to explain model predictions globally and per-sample, and blend models effectively","SHAP values: game-theory concept (brief), what they measure
Global explanations: summary plot, mean absolute SHAP bar chart
Local explanations: waterfall plot for a single prediction
Simple model blending: averaging and weighted ensembles
Stacking concept: why a meta-model works (conceptual only)",Industry Mentor,14/03/2026
Trimester 2,22,22.1,Clustering in Practice,Apply K-Means and DBSCAN to solve real-world segmentation and noise-handling problems,"K-Means: centroid algorithm, k-means++ init, elbow method, silhouette score
DBSCAN: density concept, eps/min_samples, handling noise points
Cluster visualisation with 2-D PCA scatter
Market segmentation mini-demo (sklearn, quick plot)",Industry Mentor,24/03/2026
Trimester 2,22,22.2,Dimensionality Reduction & Anomaly Detection,"Use PCA, UMAP and Isolation Forest for dimensionality reduction and fraud detection","PCA: variance-maximisation intuition, explained variance ratio, choosing n_components
UMAP: faster alternative for visualisation, when to prefer it over PCA
Isolation Forest: contamination parameter, anomaly scoring
Fraud detection use-case walkthrough",Industry Mentor,31/03/2026
Trimester 2,23,23.1,Neural Network Fundamentals,Understand neural network architecture and implement forward pass in PyTorch,"Perceptron to multi-layer: node, layer, weight intuition
Activation functions: ReLU, sigmoid, tanh — when to use each
Loss functions: MSE vs cross-entropy
Forward pass walkthrough in PyTorch (nn.Module basics)",Industry Mentor,
Trimester 2,23,23.2,Training Loop & Model Debugging,Train and debug neural networks by reading loss curves and tuning key hyperparameters,"PyTorch training loop: DataLoader, optimizer.step(), loss tracking
Batch size vs learning rate: practical tradeoffs
Reading loss curves: overfitting signals, convergence patterns
Basic debugging: gradient inspection, checkpoint saving",Industry Mentor,
Trimester 2,23,23.3,Ensemble Methods and Model Interpretability in Modern Machine Learning,Understand why ensemble models dominate tabular ML and how explainability techniques help interpret predictions,"Why ensembles outperform single models: bias-variance decomposition
Bagging vs boosting: conceptual comparison with real examples
XGBoost regularisation and why it generalises better than vanilla GBM
SHAP: Shapley values intuition, global vs local explanations
Model blending and stacking overview",IIT Prof,
Trimester 2,24,24.1,LLM Basics & Tokenisation,"Understand transformer architecture, tokenisation and use Hugging Face pipelines confidently","Transformer overview: encoder-decoder at a high level (no math)
Tokenisation: BPE concept, token vs word, token counting in practice
Embeddings: semantic similarity intuition
Hugging Face pipeline API: load model, run inference in 3 lines",Industry Mentor,
Trimester 2,24,24.2,LLMs in Practice,Design effective prompts and run cost-aware LLM inference with zero-shot and few-shot patterns,"Zero-shot prompting: structure and best practices
Few-shot prompting: example selection, format consistency
System prompts and role separation
Inference parameters: temperature, top-p basics
Cost awareness: tokens per request, pricing overview",Industry Mentor,
Trimester 2,25,25.1,Vector Databases & Embeddings,Generate embeddings and perform similarity search using FAISS and Chroma,"Why vector DBs: semantic search vs keyword search
Embedding generation: sentence-transformers, OpenAI embeddings
FAISS: flat index, cosine similarity search demo
Chroma: collection setup, add and query documents",Industry Mentor,
