Module,Week,Session,Title,Topics Covered,To be taken by,Details,Learning Objective/s of the session (S13n)
1,1,1.1,Python Kickstart: Syntax & Control Flow,"Python setup: Anaconda, VS Code, Jupyter Notebook | Variables, data types, type casting | Conditionals: if / elif / else | Loops: for, while, break, continue | Functions: def, arguments, return values",Industry Mentor,,"LO1 name from list of s13n LOs, LO2 name from list of s13n LOs"
1,1,1.2,Python Data Structures,"Lists: indexing, slicing, append, pop | Dictionaries: keys, values, get, update | Tuples and sets — when to use each | List and dict comprehensions | File I/O: reading and writing CSV and JSON",Industry Mentor,,
1,2,2.1,Git & Version Control,"Why version control matters in AI projects | git init, add, commit, status, log | Branching: create, switch, merge | GitHub: push, pull, pull requests | Best practices: .gitignore, meaningful commit messages",Industry Mentor,,
1,2,2.2,Object-Oriented Python & Best Practices,"Classes, objects, __init__, self | Inheritance and method overriding | Virtual environments and pip | Writing clean, readable code: naming, docstrings | Organising code into modules and packages",Industry Mentor,,
1,3,3.1,NumPy: Arrays & Vectorised Computing,"ndarray: creation, shape, dtype | Indexing, slicing, boolean masking | Broadcasting and element-wise operations | Common operations: sum, mean, std, max, argmax | Performance advantage of vectorisation over loops",Industry Mentor,,
1,3,3.2,Pandas: DataFrames & Data Wrangling,"Series and DataFrame creation | Selecting with iloc and loc; boolean filtering | Handling missing values: dropna, fillna | GroupBy: split-apply-combine pattern | Merging and joining DataFrames",Industry Mentor,,
1,4,4.1,Exploratory Data Analysis,"Univariate analysis: histograms, boxplots, describe() | Bivariate analysis: scatter plots, correlation heatmap | Outlier detection: IQR rule and Z-score | Skewness and distribution shape | Matplotlib and Seaborn essentials",Industry Mentor,,
1,4,4.2,Feature Engineering & Preprocessing,"Encoding categoricals: label encoding, one-hot encoding | Scaling: StandardScaler, MinMaxScaler | Binning continuous variables | Creating interaction and derived features | Identifying and handling duplicates",Industry Mentor,,
1,5,5.1,Linear Algebra for Machine Learning,"Vectors and vector spaces: intuition and notation | Matrix multiplication: the engine behind ML models | Transpose, inverse, rank | Dot products as similarity measures | PCA intuition through eigendecomposition",Professor,,
1,5,5.2,Probability for Machine Learning,"Sample space, events, conditional probability | Bayes' theorem and its role in ML | Common distributions: Gaussian, Binomial, Poisson | Expectation, variance, covariance | Maximum Likelihood Estimation (MLE) intuition",Professor,,
1,6,6.1,Statistics for Machine Learning,"Descriptive statistics: mean, median, mode, standard deviation | Central Limit Theorem and why it matters in ML | Confidence intervals | Correlation vs causation | Introduction to sampling distributions",Professor,,
1,6,6.2,Hypothesis Testing,What is hypothesis testing and why it matters in ML | Null hypothesis (H₀) and alternative hypothesis (H₁) | Type I error (false positive) and Type II error (false negative) | One-sample t-test: when to use it and how to interpret results | p-value and significance level (α): making a decision | Practical use: is this model significantly better than baseline?,Professor,,
1,7,7.1,Calculus & Optimisation for ML,"Derivatives and partial derivatives — visual intuition | Chain rule: the foundation of backpropagation | Gradient descent: step, learning rate, iterations | Convexity: local vs global minima | Loss functions: MSE, MAE, cross-entropy",Industry Mentor,,
