Module,Week,Session,Session Title,Learning Objective,Topics Covered (2-hr Content Scope),Guide
Module 1: Foundations of AI and Data Science,6,6.1,Linear Algebra for ML,Use vectors and matrices as mathematical tools for ML,"Vectors (concept + NumPy arrays)
vector arithmetic
matrix creation
matrix multiplication
transpose; cosine similarity as a practical ML application",Industry Mentor
Module 1: Foundations of AI and Data Science,6,6.2,Probability & Statistics for ML,Apply probability and statistical reasoning to ML problems,"Descriptive stats (mean
median
std
variance); probability rules
conditional probability
Bayes' theorem; Normal distribution
68-95-99.7 rule",Industry Mentor
,7,7.1,Evaluation / Buffer / Project,,,NA
Module 1: Foundations of AI and Data Science,8,8.1,Calculus & Gradient Descent for ML,Understand derivatives as optimization tools and implement gradient descent,"Derivative intuition (slope = rate of change)
partial derivatives
gradient vector; gradient descent algorithm
learning rate effects
simple NumPy implementation",Industry Mentor
Module 1: Foundations of AI and Data Science,8,8.2,Statistical Inference Basics,Apply basic statistical inference to support data-driven decisions,"Central Limit Theorem (brief)
confidence intervals (95% CI)
null vs alternative hypothesis
p-values
t-test; practical demos with SciPy",Industry Mentor
Module 1: Foundations of AI and Data Science,9,9.1,End-to-End ML Pipelines with Scikit-learn,Build end-to-end ML pipelines using Scikit-learn,"Supervised vs unsupervised overview
train/test split
sklearn fit/predict API
basic preprocessing
sklearn Pipeline construction
building a first baseline model",Industry Mentor
Module 1: Foundations of AI and Data Science,9,9.2,Data Cleaning & EDA with Pandas,Apply systematic data cleaning and exploratory data analysis,"Missing value strategies
one-hot and label encoding
outlier detection (IQR
Z-score)
correlation heatmaps
univariate and bivariate analysis",Industry Mentor
Module 1: Foundations of AI and Data Science,10,10.1,First ML Models — KNN & Linear Regression,Build and evaluate first ML models using KNN and linear regression,"KNN intuition
distance metrics (Euclidean
Manhattan); simple linear regression
RMSE
R²; model evaluation and basic comparison",Industry Mentor
Module 1: Foundations of AI and Data Science,10,10.2,Data Collection — APIs & Web Scraping,Collect data from web sources programmatically,"REST API basics
requests library for API calls
BeautifulSoup web scraping
pagination handling
ethical scraping guidelines",Industry Mentor
Module 1: Foundations of AI and Data Science,11,11.1,Logistic Regression & Model Evaluation,Master binary classification and key evaluation metrics,"Logistic regression
sigmoid function
log loss
decision boundary; confusion matrix
precision
recall
F1-score
ROC-AUC; metric selection based on business context",Industry Mentor
